user_id,item_id
0,0
0,1
0,2
0,3
0,4
1,0
1,1
1,5
1,6
2,2
2,3
2,7
2,8
3,0
3,4
3,9
3,10
4,1
4,3
4,11
4,12
5,0
5,2
5,4
5,13
6,0
6,1
6,6
6,14
7,2
7,3
7,10
7,15
8,4
8,5
8,16
8,17
9,0
9,1
9,2
9,18
10,3
10,4
10,5
10,19
11,6
11,7
11,8
11,20
12,9
12,10
12,11
12,21
13,12
13,13
13,14
13,22
14,15
14,16
14,17
14,23
15,18
15,19
15,20
15,24
16,0
16,5
16,10
16,15
17,1
17,6
17,11
17,16
18,2
18,7
18,12
18,17
19,3
19,8
19,13
19,18
20,4
20,9
20,14
20,19
21,0
21,1
21,2
21,3
22,4
22,5
22,6
22,7
23,8
23,9
23,10
23,11
24,12
24,13
24,14
24,15
